transaction_id,member_id,isbn,checkout_date,return_date,branch_id
TXN000000,M93810,9780433218197,2024-08-17,2024-08-25,BR012
TXN000001,M28289,9780338908384,2024-08-15,2024-09-02,BR011
TXN000004,M36062,9780849593109,2025-02-08,2025-02-16,BR012
TXN000005,M68878,9780316475259,2024-06-29,2024-07-24,BR013
TXN000006,M30926,9780928327649,2025-10-06,2025-10-13,BR006
TXN000009,M70217,9781532871016,2024-02-02,2024-02-20,BR015
TXN000010,M48427,9781916697843,2025-09-22,2025-10-04,BR010
TXN000012,M39871,9780814893258,2025-04-23,2025-05-21,BR002
TXN000013,M23238,9781701543034,2025-07-16,2025-07-28,BR008
TXN000014,M31319,9780718227821,2024-04-24,2024-05-17,BR004
TXN000015,M99593,9780834657878,2024-01-10,2024-01-28,BR010
TXN000016,M42087,9780509839301,2023-12-04,2024-01-03,BR007
TXN000017,M93886,9780105183471,2024-03-18,2024-04-14,BR004
TXN000018,M17331,9781376311655,2024-08-18,2024-08-31,BR001
TXN000019,M45093,9780106513338,2024-11-09,2024-12-08,BR015
TXN000020,M51245,9781247317816,2023-11-19,2023-12-19,BR008
TXN000021,M94259,9780326773604,2024-02-11,2024-03-06,BR005
TXN000022,M83579,9781474687232,2024-05-17,2024-06-15,BR012
TXN000023,M86484,9780500978825,2023-11-24,2023-11-29,BR004
TXN000025,M24371,9780699854351,2024-04-05,2024-04-19,BR003
TXN000026,M88172,9780475107992,2025-10-11,2025-10-26,BR007
TXN000027,M79352,9780842513548,2024-02-06,2024-02-07,BR009
TXN000028,M99166,9780841241183,2024-02-04,2024-02-29,BR011
TXN000029,M44973,9780534874018,2025-01-19,2025-02-02,BR006
TXN000030,M30730,9780052427864,2024-11-27,2024-12-06,BR012
TXN000031,M75612,9780280598268,2024-01-15,2024-02-12,BR009
TXN000032,M91959,9781053315860,2025-09-24,2025-10-01,BR011
TXN000033,M30032,9780226025636,2024-04-26,2024-05-21,BR003
TXN000034,M79514,9781073375431,2024-03-24,2024-03-25,BR010
TXN000035,M24662,9781541458680,2024-06-12,2024-07-08,BR015
TXN000038,M79822,9780561595146,2024-10-18,2024-11-05,BR003
TXN000039,M31643,9781648236624,2025-01-05,2025-01-12,BR014
TXN000040,M80686,9781804436998,2025-02-03,2025-02-13,BR012
TXN000041,M62296,9781738721481,2025-02-10,2025-03-11,BR011
TXN000042,M77839,9780343320034,2025-10-02,2025-10-13,BR004
TXN000043,M12757,9781693676321,2025-02-04,2025-02-05,BR004
TXN000044,M19305,9780632870837,2025-08-14,2025-09-12,BR001
TXN000045,M14117,9781278895796,2025-05-31,2025-06-09,BR002
TXN000046,M97684,9781277434873,2025-01-14,2025-02-13,BR009
TXN000047,M84847,9781143455810,2024-01-23,2024-02-18,BR004
TXN000048,M63354,9781231665879,2024-08-12,2024-08-24,BR002
TXN000049,M65519,9781690967057,2024-05-19,2024-06-10,BR014
TXN000051,M54473,9781627298063,2024-12-19,2024-12-26,BR002
TXN000052,M80292,9780627204654,2024-03-16,2024-03-31,BR007
TXN000053,M42742,9781646417087,2023-11-21,2023-12-19,BR002
TXN000054,M82132,9780100330924,2024-04-05,2024-05-02,BR011
TXN000055,M11934,9780937452998,2025-09-17,2025-09-25,BR015
TXN000056,M31798,9780419049661,2025-09-01,2025-09-14,BR008
TXN000058,M69638,9781185067163,2025-09-15,2025-10-11,BR012
TXN000059,M82845,9780628498779,2024-08-27,2024-09-06,BR008
TXN000060,M38534,9781314737998,2025-02-13,2025-02-15,BR010
TXN000061,M51104,9780752735450,2024-05-05,2024-06-04,BR010
TXN000063,M34356,9781014363497,2024-07-09,2024-07-17,BR002
TXN000064,M62923,9781855744431,2024-01-10,2024-01-29,BR015
TXN000065,M87924,nan,2024-03-02,2024-03-21,BR002
TXN000066,M84085,9780337498947,2025-09-29,2025-10-21,BR015
TXN000067,M51180,9781352408249,2023-11-16,2023-12-07,BR007
TXN000068,M49321,9781271094776,2024-08-30,2024-09-02,BR015
TXN000069,M11220,9780471167198,2025-01-16,2025-01-19,BR010
TXN000070,M80468,9780294131864,2024-12-30,2025-01-11,BR005
TXN000071,M19016,9781774964996,2023-11-27,2023-12-12,BR006
TXN000072,M81200,9780341232810,2024-02-05,2024-03-02,BR010
TXN000073,M95717,9781974034475,2023-12-05,2023-12-15,BR011
TXN000074,M96951,9781936183241,2025-06-09,2025-06-13,BR015
TXN000075,M24029,9780249947175,2025-02-28,2025-03-20,BR003
TXN000076,M37607,9781887719063,2025-04-02,2025-04-30,BR004
TXN000077,M44600,9780139904905,2025-04-23,2025-05-21,BR005
TXN000078,M16658,9781874296713,2024-09-21,2024-09-23,BR007
TXN000080,M31178,9781154516807,2025-02-05,2025-02-23,BR009
TXN000081,M11267,9781038597700,2024-10-03,2024-03-15,BR015
TXN000082,M81511,nan,2024-11-18,2024-11-23,BR006
TXN000084,M15229,9780317127485,2025-03-12,2025-04-03,BR004
TXN000085,M23473,9781737826392,2024-10-19,2024-11-02,BR009
TXN000086,M91351,9780465840441,2025-06-17,2025-07-15,BR015
TXN000087,M31299,9780787558864,2024-09-10,2024-09-24,BR013
TXN000088,M13248,9780396360575,2025-03-12,2025-04-11,BR015
TXN000089,M63964,9781270289517,2025-07-14,2025-07-22,BR014
TXN000090,M44970,9780870262173,2025-05-07,2025-06-04,BR012
TXN000091,M15075,9781961586574,2025-07-12,2025-08-11,BR004
TXN000092,M70332,9780343161170,2024-02-12,2024-02-20,BR014
TXN000093,M39219,nan,2024-05-19,2024-05-28,BR004
TXN000094,M19099,9780504556234,2024-11-05,2024-11-22,BR005
TXN000095,M62386,9780219693798,2024-01-26,2024-01-27,BR014
TXN000096,M25118,9781740748216,2024-08-31,2024-09-09,BR005
TXN000097,M15014,9781647436711,2024-04-04,2024-04-30,BR007
TXN000098,M51114,9781406409093,2025-04-10,2025-05-09,BR009
TXN000099,M85574,9780953394210,2025-08-04,2025-08-05,BR001
TXN000100,M78146,9781709521454,2025-04-12,2025-05-06,BR009
TXN000102,M97062,9781517123680,2024-07-07,2024-08-04,BR010
TXN000103,M26334,9780481754968,2025-06-06,2025-06-28,BR005
TXN000104,M63528,9780370985930,2025-01-29,2025-02-03,BR012
TXN000105,M35144,9781612004716,2023-12-24,2024-01-22,BR007
TXN000106,M32810,9781758692617,2025-06-14,2025-07-11,BR005
TXN000107,M10053,9781053773516,2025-09-30,2025-10-19,BR004
TXN000108,M89516,9781064317136,2025-01-25,2025-02-16,BR008
TXN000109,M38010,9780532931836,2024-12-15,2025-01-10,BR013
TXN000110,M32241,9781290422840,2025-05-19,2025-06-09,BR005
TXN000111,M91167,9780205395026,2024-04-24,2024-05-02,BR014
TXN000112,M98184,9781811775899,2024-01-01,2024-01-02,BR013
TXN000113,M16057,9780847007660,2025-02-26,2025-03-23,BR008
TXN000114,M19545,9781115921244,2025-01-12,2025-01-19,BR015
TXN000115,M60328,9781984789617,2025-05-15,2025-06-07,BR004
TXN000116,M10726,9780673657664,2025-03-30,2025-04-03,BR014
TXN000117,M65724,9781545271117,2023-12-21,2024-01-07,BR013
TXN000118,M70889,9781280988516,2024-08-09,2024-08-13,BR004
TXN000119,M69829,9780494519837,2024-02-04,2024-02-22,BR008
TXN000121,M76162,9781024455021,2025-07-10,2025-08-08,BR015
