ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
9780132996785,Extended fault-tolerant customer loyalty,Miss Rosie Jackson,Children,2021,5,2024-07-01,Missing,True
9781638586920,Digitized full-range structure,Damien Scott,Young Adult,1966,4,2018-01-18,Checked Out,True
9780662871170,Customizable intermediate hub,Mr Stanley Ward,Reference,2009,1,2023-05-11,Checked Out,True
9780945069898,Mandatory motivating time-frame,Philip Jenkins,Reference,1994,1,2021-03-01,Reserved,True
9780997285543,Decentralized local paradigm,Diana Lee,Children,1973,0,2021-12-12,Reserved,True
9780491421546,Integrated uniform alliance,Marc Hall,Reference,1952,2,2019-09-05,Missing,True
9780857404053,Diverse value-added secured line,Norman Woods-Hall,Young Adult,1952,6,2025-01-25,Available,True
9780547663074,Switchable leadingedge orchestration,Dr Shaun Hamilton,Children,2020,0,2022-03-26,Checked Out,True
9781519407238,Grass-roots incremental benchmark,Mrs Abigail Iqbal,Non-Fiction,1983,0,2023-03-10,Damaged,True
9780829220926,Intuitive background system engine,Stuart Richards-Burgess,Children,1988,7,2021-08-20,Reserved,True
9780114747299,Re-engineered analyzing strategy,Miss Georgia Clarke,Young Adult,2001,9,2020-08-07,Reserved,True
9780497574567,Quality-focused executive forecast,Janice Barnes,Fiction,2024,0,2017-11-21,Reserved,True
9781651903483,Exclusive actuating open architecture,Stephanie Archer,Fiction,2014,9,2016-03-12,Missing,True
9780644903592,Fully-configurable explicit capability,Maurice Jones,Children,2005,6,2024-08-16,Reserved,True
9780430718218,Self-enabling national complexity,Lorraine Davies,Non-Fiction,1954,1,2024-08-18,Damaged,True
9780318678115,Switchable 4thgeneration moratorium,Mr Martin Bennett,Children,1995,6,2018-02-20,Checked Out,True
9781970257953,Front-line zero tolerance help-desk,Miss Abigail Knowles,Non-Fiction,2015,8,2024-10-26,Damaged,True
9781472863997,Total hybrid complexity,Julie Adams-Barnes,Reference,2015,8,2022-10-22,Damaged,True
9780317591453,Advanced real-time analyzer,Danny Brown,Young Adult,1994,6,2017-09-11,Missing,True
9781286939536,Re-engineered scalable toolset,Mr James Cooper,Reference,1980,1,2022-12-18,Checked Out,True
9780382765346,Quality-focused static application,Mr Denis Hodgson,Young Adult,1956,6,2019-09-04,Checked Out,True
9780858552012,Adaptive systemic budgetary management,Bruce Watson,Non-Fiction,1952,1,2022-09-17,Available,True
9781448479207,Organized encompassing approach,Mrs Beth Parry,Non-Fiction,2021,6,2025-06-28,Available,True
9780221775994,Business-focused client-driven hardware,Dr Terry Anderson,Children,2011,9,2025-09-30,Reserved,True
9780032041035,Sharable mobile capacity,Joshua Holloway,Young Adult,1960,9,2017-04-14,Missing,True
9780957551268,Extended maximized approach,Matthew Hughes,Fiction,1977,8,2021-11-09,Available,True
9780022517663,Optional national process improvement,Nicholas Hardy,Non-Fiction,1992,1,2017-06-04,Reserved,True
9781213345959,Realigned context-sensitive productivity,Jeffrey Hunt,Reference,1991,3,2025-02-24,Missing,True
9780192959096,Upgradable non-volatile framework,Dr Ian Myers,Non-Fiction,2022,4,2020-10-07,Reserved,True
9781637825648,Visionary multimedia help-desk,Allan Walker,Fiction,1965,4,2025-09-26,Damaged,True
9781955770514,Realigned incremental hierarchy,Mr Joe Hall,Reference,1956,5,2023-01-30,Checked Out,True
9781511590594,Devolved full-range installation,Julian Harper,Children,2006,2,2024-07-05,Missing,True
9781697950809,Vision-oriented exuding solution,Dr Sarah Marshall,Non-Fiction,1995,1,2022-01-24,Damaged,True
9780850416275,Managed 24hour website,Stanley Humphries,Young Adult,1977,10,2022-03-06,Available,True
9780521238021,Reduced systematic success,Holly Harrison-Palmer,Reference,1992,3,2025-08-28,Checked Out,True
9781635148749,Reverse-engineered methodical product,Sally Davies,Young Adult,2013,0,2017-02-05,Missing,True
9781589385337,Managed motivating protocol,Jemma John-Lee,Children,2015,8,2022-08-11,Damaged,True
9781953595225,Reactive transitional leverage,Declan Storey,Reference,2002,5,2017-01-29,Damaged,True
9780181749738,Visionary asymmetric capability,Dawn Lawrence,Non-Fiction,1971,5,2020-01-07,Missing,True
9781098910501,Horizontal systematic system engine,Dr Ellie Baker,Non-Fiction,1970,8,2021-12-20,Checked Out,True
9781005975838,Fundamental systematic frame,Miss Chloe Archer,Reference,1950,1,2022-12-11,Missing,True
9780841828650,Future-proofed non-volatile alliance,Dr Henry Williams,Non-Fiction,1969,3,2019-01-11,Reserved,True
9781415190937,Persevering holistic knowledge user,Dr David Robinson,Non-Fiction,1955,6,2024-05-01,Missing,True
9780616941355,Cross-platform composite moratorium,Ashleigh Martin-Baker,Reference,1993,6,2018-12-01,Missing,True
9781827706993,De-engineered client-driven instruction set,Hugh Griffiths,Children,2004,7,2019-07-13,Damaged,True
9780608276106,Advanced composite structure,Stacey Bradley,Young Adult,2014,0,2022-05-13,Missing,True
9781596915732,Triple-buffered empowering policy,Alison Moore-Bennett,Young Adult,1985,5,2022-05-22,Missing,True
9780759849136,Upgradable needs-based support,Jay Hill,Non-Fiction,2011,4,2024-06-28,Reserved,True
9780113379521,Expanded dedicated attitude,Elaine Thompson-Reeves,Reference,1991,9,2024-11-01,Damaged,True
9781127879632,Fully-configurable value-added migration,Mohammad Berry,Children,1968,1,2024-03-14,Checked Out,True
9780220822040,Horizontal multi-state frame,Trevor Taylor,Children,1975,1,2016-11-26,Damaged,True
9780649571048,Digitized static Graphical User Interface,Bryan Brown,Children,1994,10,2022-10-26,Reserved,True
9781224170182,Vision-oriented solution-oriented definition,Mr Trevor Hughes,Reference,1970,8,2022-07-18,Missing,True
9781030579254,Triple-buffered scalable array,Nathan Wilson,Young Adult,1985,8,2025-01-01,Damaged,True
9780682201520,Seamless system-worthy matrix,Rhys Fisher,Children,1961,10,2025-10-11,Available,True
9780116700629,Balanced multimedia challenge,Emily Phillips,Children,2017,6,2020-05-09,Checked Out,True
9781453629215,Versatile tangible encryption,Mohammed Thomas-Davis,Young Adult,2006,5,2016-10-31,Available,True
9781968950927,Re-contextualized attitude-oriented moderator,Kathryn Singh-Begum,Fiction,2013,6,2018-05-08,Reserved,True
9781972547205,Horizontal mobile extranet,Dr Philip Davies,Children,1978,4,2020-04-05,Missing,True
9781394904655,Cross-platform executive framework,Natasha Burton-Roberts,Young Adult,1995,5,2020-08-19,Available,True
9781525288869,Innovative homogeneous functionalities,Mr Leonard Morrison,Children,2005,4,2024-09-25,Available,True
9780178421395,Cross-platform directional time-frame,Dr Kerry Smith,Reference,2001,7,2017-12-21,Missing,True
9781772715422,Diverse eco-centric budgetary management,Katherine Coates,Reference,2004,3,2025-09-01,Available,True
9780834124721,Enterprise-wide discrete knowledgebase,Gemma Williams,Fiction,2022,3,2024-12-03,Reserved,True
9781370063239,Right-sized real-time open architecture,Terry Duffy,Reference,1973,0,2020-09-05,Available,True
9780352108586,Ergonomic scalable knowledgebase,Miss Bethan Murray,Young Adult,1974,0,2024-09-16,Available,True
9781321894516,Upgradable analyzing open architecture,Kyle Miller,Children,2023,7,2021-06-04,Checked Out,True
9780199428175,Triple-buffered next generation encoding,Mary Porter-Metcalfe,Non-Fiction,1985,2,2018-05-03,Checked Out,True
9781534334977,Universal bandwidth-monitored throughput,Ross Clarke,Reference,1985,8,2015-11-28,Checked Out,True
9780242430094,Stand-alone attitude-oriented software,Bernard Wilson-Patel,Children,1971,7,2017-12-31,Damaged,True
9780087244788,Front-line object-oriented support,June Iqbal,Young Adult,2020,0,2017-02-19,Missing,True
9781798969106,Digitized exuding budgetary management,Tony Lee,Reference,1982,6,2022-05-17,Available,True
9780449520765,Re-engineered optimal product,Mr Antony Wilkins,Fiction,2014,0,2024-11-04,Reserved,True
9780197789513,Optimized impactful help-desk,Mr Alexander Shaw,Fiction,1976,3,2016-04-07,Reserved,True
9781402776014,Synchronized clear-thinking definition,Georgina Khan,Reference,1950,1,2024-03-21,Reserved,True
9780000366856,Phased fault-tolerant encoding,Frank Turner,Non-Fiction,2006,3,2018-02-24,Reserved,True
9781184581639,Business-focused context-sensitive benchmark,Naomi Nelson,Reference,2001,6,2021-02-21,Damaged,True
9781372511295,Switchable multi-state alliance,Timothy Nolan-Atkinson,Fiction,1994,5,2016-04-23,Reserved,True
9780370506746,Realigned uniform conglomeration,Clive Walsh,Children,2003,0,2025-09-28,Reserved,True
9781465476319,Optional real-time array,Sheila Nixon-Wright,Non-Fiction,2024,2,2024-03-17,Damaged,True
9781535423724,Function-based intermediate interface,Alex Morris,Fiction,2005,7,2017-01-15,Reserved,True
9781617479045,Multi-channeled web-enabled groupware,Rachel Harris,Young Adult,1967,7,2023-05-09,Checked Out,True
9781964254975,Public-key actuating implementation,Pauline Jones-Richards,Fiction,1992,3,2025-03-18,Damaged,True
9780348973112,Optimized 6thgeneration capability,Dr Kerry Henry,Children,2023,1,2024-08-16,Available,True
9780115424014,Monitored 3rdgeneration service-desk,Callum Dobson-Dawson,Reference,1969,8,2021-11-23,Reserved,True
9781808835858,Multi-channeled motivating project,Shirley Smith,Young Adult,2006,10,2018-05-31,Checked Out,True
9781979974257,Upgradable explicit complexity,Gregory Miah,Reference,1996,0,2016-05-12,Checked Out,True
9780682756846,Reduced modular service-desk,Ben Long,Fiction,1995,5,2022-09-17,Checked Out,True
9781725308152,Progressive 24hour moratorium,Dr Gerald Bishop,Reference,1981,0,2023-07-25,Damaged,True
9781119324676,Compatible secondary structure,Lawrence Richards,Young Adult,1993,5,2017-04-29,Missing,True
9780371002957,Seamless secondary info-mediaries,Katherine Ford,Non-Fiction,1961,2,2023-06-13,Damaged,True
9781705320938,Multi-tiered asynchronous definition,Guy Brown,Non-Fiction,2003,4,2018-09-01,Checked Out,True
9781197294106,Extended interactive methodology,Mrs Georgina Pearce,Reference,1997,6,2022-12-26,Damaged,True
9781011713035,Triple-buffered mobile algorithm,Bernard Spencer,Reference,1984,4,2018-06-06,Damaged,True
9780877373162,Re-engineered client-server knowledge user,Ms Grace Gordon,Fiction,2007,8,2025-01-18,Missing,True
9780069774005,Right-sized system-worthy Local Area Network,Charlotte Lewis,Fiction,2011,5,2017-02-08,Available,True
9781180610852,Fully-configurable logistical analyzer,Rachael Farmer,Reference,2022,1,2015-12-28,Missing,True
9780221268397,Balanced foreground attitude,Mr Benjamin Preston,Reference,1958,7,2024-02-09,Damaged,True
9781934910672,Optional reciprocal model,Ryan Thomas,Children,1997,1,2025-08-04,Checked Out,True
9781116328226,Multi-lateral bifurcated open system,Miss Mary Walker,Reference,1985,4,2024-12-15,Available,True
9781167211706,Distributed fresh-thinking extranet,Dr Joel Black,Children,1971,5,2019-01-19,Checked Out,True
9781218254805,Managed tangible Local Area Network,Miss Susan Robinson,Fiction,2004,4,2017-06-28,Missing,True
9781263352310,Switchable maximized product,Miss Lynda Williams,Reference,1972,8,2025-03-19,Checked Out,True
9780020613923,Advanced disintermediate benchmark,Dr Eric Field,Reference,1993,10,2023-02-08,Missing,True
9781482287806,Proactive content-based pricing structure,Gemma Woodward,Young Adult,1984,7,2024-10-08,Damaged,True
9780096667622,Re-contextualized homogeneous alliance,Jason May,Young Adult,1994,6,2022-11-16,Reserved,True
9781991047168,Innovative radical Graphic Interface,Dr Shaun Dawson,Reference,1954,7,2024-04-09,Available,True
9781577137153,Exclusive eco-centric concept,Tony Morris,Children,1991,4,2017-11-26,Missing,True
9781322766546,Versatile upward-trending monitoring,Jacob Clarke,Children,1976,10,2024-05-25,Reserved,True
9781454030027,Stand-alone bandwidth-monitored framework,Lorraine Sanderson,Non-Fiction,2005,8,2023-05-09,Damaged,True
9781388232344,Managed uniform encryption,Melanie Cooper,Young Adult,1963,5,2020-12-06,Damaged,True
9780896575493,Sharable coherent secured line,Natalie Gray,Reference,1972,2,2021-12-06,Available,True
9780337619151,Synergistic logistical matrices,Carol Austin,Reference,1984,9,2024-07-20,Available,True
9780581623157,Fully-configurable reciprocal flexibility,Harriet Ford,Young Adult,2001,3,2019-05-14,Reserved,True
9781509163977,Sharable high-level adapter,Dr Katy Mitchell,Fiction,1994,3,2023-05-20,Reserved,True
9781109810097,Fundamental explicit definition,Karen Khan,Reference,2009,7,2020-08-31,Available,True
9780656942763,Self-enabling content-based neural-net,Ellie Carey,Fiction,1956,1,2019-08-11,Available,True
9780676311433,Configurable value-added approach,Leslie Wilson,Children,1982,7,2021-10-01,Damaged,True
9780414264298,Face-to-face 4thgeneration utilization,Miss Janice Gregory,Non-Fiction,1986,9,2018-08-06,Reserved,True
9780816742899,Intuitive fault-tolerant application,Miss Lydia Jones,Non-Fiction,1959,10,2018-03-31,Reserved,True
9781528972451,Robust logistical open system,Billy Dunn,Reference,2011,2,2017-08-27,Checked Out,True
9781540421005,Customizable exuding productivity,Stewart Matthews,Children,1996,7,2016-11-17,Missing,True
9781854539052,Organic tertiary process improvement,Karl Cooper,Children,2001,4,2017-01-23,Available,True
9780339530027,Streamlined grid-enabled support,Ms Hilary Shepherd,Non-Fiction,1993,4,2022-05-16,Damaged,True
9781377312521,Integrated high-level moderator,Duncan Gough-Lees,Children,1962,6,2025-10-13,Missing,True
9780751733587,Exclusive incremental circuit,Kim Mistry-Harvey,Children,1997,7,2016-08-25,Checked Out,True
9781438787176,Cloned discrete Graphic Interface,Leon Stevens,Reference,1990,2,2024-09-29,Checked Out,True
9780548256275,Extended reciprocal interface,Dr Nigel Davies,Non-Fiction,2018,5,2017-10-21,Reserved,True
9781120992864,Switchable national protocol,Jay Jones-Harris,Children,2020,0,2022-06-14,Missing,True
9781515367208,Team-oriented optimizing intranet,Dr Jack Mason,Children,2012,9,2019-07-16,Reserved,True
9780856859441,Configurable intangible forecast,Mr Timothy Gibson,Young Adult,1996,8,2024-11-01,Available,True
9781685402624,Cross-platform multi-state analyzer,Mrs Lesley Banks,Young Adult,2001,0,2019-11-15,Checked Out,True
9780518522911,Optimized heuristic initiative,Caroline Booth,Reference,1983,10,2016-05-26,Available,True
9780987148452,Future-proofed fault-tolerant customer loyalty,Sarah Hall,Non-Fiction,2002,2,2018-09-15,Checked Out,True
9781774146514,Profit-focused demand-driven attitude,Ms Caroline Reed,Non-Fiction,1988,7,2024-08-22,Available,True
9780630575789,Multi-tiered impactful approach,Matthew Birch,Children,1952,7,2024-11-05,Available,True
9780766606951,Ameliorated multimedia hierarchy,Liam Pugh-Wells,Children,2001,9,2019-12-29,Damaged,True
9781532647413,Streamlined tertiary firmware,Katie Davies,Fiction,1982,7,2015-12-04,Missing,True
9780968483596,Visionary human-resource application,Sarah Wallace,Young Adult,1981,4,2021-04-22,Available,True
9780871638816,Reverse-engineered didactic strategy,Gregory Mistry,Reference,1994,5,2017-03-27,Missing,True
9780899381985,Polarized real-time capacity,Chelsea Ross,Children,1955,8,2016-10-03,Checked Out,True
9781576018088,Optional transitional intranet,Sam Morris,Young Adult,1986,5,2017-01-16,Damaged,True
9781915289322,Profound bi-directional utilization,Dr Charlie Holt,Fiction,1965,7,2023-04-12,Available,True
9781313197496,Fully-configurable bifurcated encoding,Ms Grace Davies,Non-Fiction,1999,1,2020-01-19,Available,True
9781593765118,Programmable clear-thinking Graphic Interface,Dr Aimee Griffin,Fiction,2008,5,2016-11-19,Missing,True
9780727154835,Open-source context-sensitive monitoring,Alison Hussain,Fiction,1955,1,2018-02-15,Damaged,True
